"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "Properties", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/toaster.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/hooks/use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/hooks/useMediaQuery.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/i18n/config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/i18n/request.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/messages/en.json", "JSON", 0, 0, 112, 0, 0, 0, 0, 0, 0, 2, 114
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/messages/qr.json", "JSON", 0, 0, 113, 0, 0, 0, 0, 0, 0, 2, 115
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/messages/ru.json", "JSON", 0, 0, 113, 0, 0, 0, 0, 0, 0, 2, 115
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/messages/uz.json", "JSON", 0, 0, 112, 0, 0, 0, 0, 0, 0, 2, 114
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/confirm-email.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/forgotPassword.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/getUserInfo.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/login.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 23, 10, 56
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/logout.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/register.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/resetPassword.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/auth/verifyCode.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/fetchwrapper.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 2, 20, 90
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/locale.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 4, 16
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/services/session.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 0, 15
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/tailwind.config.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/video.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/videos/get-started.mp4.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/videos/natcraft.mp4.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 517, 4632, 8818, 26, 1, 238, 23, 24, 165, 706, 15150
